task_id,task_text,category,priority,status,due_date,cleaned_text,tokens,token_no_stopwords,stemmed_tokens,text_length,due_days_left,urgency_flag,priority_binary,assigned_to,predicted_priority
465,Read paper on LLMs,Research,High,To Do,2025-06-29,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,7,0,1,Bob,1
466,Explore new ML model,Research,Medium,In Progress,2025-06-30,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,8,0,0,Alice,0
468,Read paper on LLMs,Research,Medium,In Progress,2025-07-01,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,9,0,0,Charlie,0
470,Explore new ML model,Research,Low,To Do,2025-07-01,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,9,0,0,Bob,0
471,Read paper on LLMs,Research,Low,In Progress,2025-07-07,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,15,0,0,Alice,0
473,Read paper on LLMs,Research,Medium,To Do,2025-07-03,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,11,0,0,Diana,0
475,Compare cloud providers,Research,Medium,To Do,2025-07-05,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,13,0,0,Diana,0
476,Explore new ML model,Research,High,In Progress,2025-06-26,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,4,0,1,Diana,0
477,Explore new ML model,Research,Low,Done,2025-06-22,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,0,1,0,Alice,0
478,Read paper on LLMs,Research,Low,In Progress,2025-06-25,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,3,0,0,Charlie,0
479,Compare cloud providers,Research,Low,To Do,2025-06-28,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,6,0,0,Charlie,0
480,Read paper on LLMs,Research,Medium,In Progress,2025-06-29,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,7,0,0,Bob,0
481,Explore new ML model,Research,High,Done,2025-07-06,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,14,0,1,Bob,0
483,Compare cloud providers,Research,Medium,Done,2025-07-01,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,9,0,0,Alice,0
484,Read paper on LLMs,Research,Medium,Done,2025-06-30,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,8,0,0,Alice,0
486,Explore new ML model,Research,Low,In Progress,2025-06-25,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,3,0,0,Alice,0
487,Benchmark database,Research,Low,In Progress,2025-06-22,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,0,1,0,Bob,0
489,Benchmark database,Research,Low,Done,2025-06-22,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,0,1,0,Charlie,0
496,Explore new ML model,Research,High,To Do,2025-06-28,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,6,0,1,Diana,1
497,Compare cloud providers,Research,Low,In Progress,2025-06-29,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,7,0,0,Bob,0
499,Compare cloud providers,Research,High,To Do,2025-07-05,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,13,0,1,Charlie,0
500,Compare cloud providers,Research,Low,In Progress,2025-07-08,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,16,0,0,Alice,0
